股票代碼,股票名稱
688536.SH,思瑞浦
688513.SH,苑东生物
688368.SH,晶丰明源
600200.SH,江苏吴中
603516.SH,淳中科技
603322.SH,超讯通信
600308.SH,华泰股份
603235.SH,天新药业
688052.SH,纳芯微
603929.SH,亚翔集成
601008.SH,连云港
605300.SH,佳禾食品
600971.SH,恒源煤电
603939.SH,益丰药房
600649.SH,城投控股
688141.SH,杰华特
688200.SH,华峰测控
600060.SH,海信视像
603800.SH,洪田股份
688798.SH,艾为电子
600490.SH,鹏欣资源
600860.SH,京城股份
603663.SH,三祥新材
688337.SH,普源精电
601069.SH,西部黄金
688351.SH,微电生理
600383.SH,金地集团
600790.SH,轻纺城
603125.SH,常青科技
688281.SH,华秦科技
603069.SH,海汽集团
600391.SH,航发科技
688443.SH,智翔金泰-U
688153.SH,唯捷创芯
600312.SH,平高电气
603786.SH,科博达
600645.SH,中源协和
688382.SH,益方生物-U
600449.SH,宁夏建材
688062.SH,迈威生物-U
688127.SH,蓝特光学
688085.SH,三友医疗
603233.SH,大参林
688608.SH,恒玄科技
688578.SH,艾力斯
603100.SH,川仪股份
600746.SH,江苏索普
605358.SH,立昂微
600422.SH,昆药集团
688401.SH,路维光电
600161.SH,天坛生物
601933.SH,永辉超市
600326.SH,西藏天路
600223.SH,福瑞达
600226.SH,亨通股份
688197.SH,首药控股-U
688515.SH,裕太微-U
600925.SH,苏能股份
688486.SH,DR龙迅股
603688.SH,石英股份
603985.SH,恒润股份
688690.SH,纳微科技
603496.SH,恒为科技
688261.SH,东微半导
600976.SH,健民集团
688198.SH,佰仁医疗
688295.SH,中复神鹰
600266.SH,城建发展
688484.SH,南芯科技
600810.SH,神马股份
688521.SH,芯原股份
600757.SH,长江传媒
601225.SH,陕西煤业
688347.SH,华虹公司
603882.SH,金域医学
600657.SH,信达地产
688270.SH,臻镭科技
603707.SH,健友股份
601966.SH,玲珑轮胎
600571.SH,信雅达
601155.SH,新城控股
688508.SH,芯朋微
688019.SH,安集科技
600740.SH,山西焦化
601816.SH,京沪高铁
688506.SH,百利天恒
601019.SH,山东出版
603619.SH,中曼石油
600501.SH,航天晨光
600370.SH,三房巷
600285.SH,羚锐制药
600841.SH,动力新科
688180.SH,君实生物-U
603801.SH,志邦家居
601928.SH,凤凰传媒
601808.SH,中海油服
603170.SH,宝立食品
605319.SH,无锡振华
600435.SH,北方导航
603063.SH,禾望电气
