stock_code,count_above_1,total_days,pct_above_1,stock_name
000001,0,111,0.0,平安银行
000002,8,111,7.21,万科A
000063,14,111,12.61,中兴通讯
000100,7,111,6.31,TCL科技
000157,5,111,4.5,中联重科
000166,2,111,1.8,申万宏源
000301,13,111,11.71,东方盛虹
000333,1,111,0.9,美的集团
000338,16,111,14.41,潍柴动力
000408,16,111,14.41,藏格矿业
000425,12,111,10.81,徐工机械
000538,0,111,0.0,云南白药
000568,6,111,5.41,泸州老窖
000596,4,111,3.6,古井贡酒
000617,10,111,9.01,中油资本
000625,2,111,1.8,长安汽车
000630,22,111,19.82,铜陵有色
000651,0,111,0.0,格力电器
000661,7,111,6.31,长春高新
000708,4,111,3.6,中信特钢
000725,4,111,3.6,京东方A
000768,7,111,6.31,中航西飞
000776,11,111,9.91,广发证券
000786,7,111,6.31,北新建材
000792,17,111,15.32,盐湖股份
000807,17,111,15.32,云铝股份
000858,2,111,1.8,五 粮 液
000876,1,111,0.9,新 希 望
000895,0,111,0.0,双汇发展
000938,9,111,8.11,紫光股份
000963,2,111,1.8,华东医药
000975,19,111,17.12,山金国际
000977,10,111,9.01,浪潮信息
000983,8,111,7.21,山西焦煤
000999,2,111,1.8,华润三九
001391,0,111,0.0,国货航
001965,0,111,0.0,招商公路
001979,7,111,6.31,招商蛇口
002001,7,111,6.31,新和成
002027,4,111,3.6,分众传媒
002028,26,111,23.42,思源电气
002049,7,101,6.93,紫光国微
002050,26,111,23.42,三花智控
002074,12,111,10.81,国轩高科
002142,4,111,3.6,宁波银行
002179,6,111,5.41,中航光电
002230,8,111,7.21,科大讯飞
002236,7,111,6.31,大华股份
002241,11,111,9.91,歌尔股份
002252,1,111,0.9,上海莱士
002304,3,111,2.7,洋河股份
002311,5,111,4.5,海大集团
002352,0,111,0.0,顺丰控股
002371,15,111,13.51,北方华创
002384,23,111,20.72,东山精密
002415,3,111,2.7,海康威视
002422,6,111,5.41,科伦药业
002459,15,111,13.51,晶澳科技
002460,27,111,24.32,赣锋锂业
002463,28,111,25.23,沪电股份
002466,23,111,20.72,天齐锂业
002475,16,111,14.41,立讯精密
002493,15,111,13.51,荣盛石化
002594,2,111,1.8,比亚迪
002600,15,111,13.51,领益智造
002601,10,111,9.01,龙佰集团
002625,9,111,8.11,光启技术
002648,7,111,6.31,卫星化学
002709,26,111,23.42,天赐材料
002714,6,111,5.41,牧原股份
002736,5,111,4.5,国信证券
002916,25,111,22.52,深南电路
002920,12,111,10.81,德赛西威
002938,22,111,19.82,鹏鼎控股
003816,2,111,1.8,中国广核
300014,17,111,15.32,亿纬锂能
300015,3,111,2.7,爱尔眼科
300033,10,111,9.01,同花顺
300059,5,111,4.5,东方财富
300122,3,111,2.7,智飞生物
300124,10,111,9.01,汇川技术
300251,12,111,10.81,光线传媒
